random_moves,hillclimber_moves,improvement,board,size
8680,8512,168,Board 5,9x9
26919,26746,173,Board 5,9x9
45638,45638,0,Board 5,9x9
20751,20588,163,Board 5,9x9
8166,8011,155,Board 5,9x9
29610,29448,162,Board 5,9x9
44825,44678,147,Board 5,9x9
23376,23216,160,Board 5,9x9
31187,31011,176,Board 5,9x9
20307,20154,153,Board 5,9x9
10880,10707,173,Board 5,9x9
10105,9953,152,Board 5,9x9
86843,86686,157,Board 5,9x9
14890,14887,3,Board 5,9x9
5417,5253,164,Board 5,9x9
6949,6795,154,Board 5,9x9
15885,15706,179,Board 5,9x9
42752,42585,167,Board 5,9x9
37574,37574,0,Board 5,9x9
37047,36862,185,Board 5,9x9
18486,18322,164,Board 5,9x9
69621,69464,157,Board 5,9x9
25330,25161,169,Board 5,9x9
6882,6706,176,Board 5,9x9
26559,26384,175,Board 5,9x9
28637,28496,141,Board 5,9x9
41631,41458,173,Board 5,9x9
37834,37669,165,Board 5,9x9
88426,88272,154,Board 5,9x9
72362,72188,174,Board 5,9x9
46248,46080,168,Board 5,9x9
18191,18030,161,Board 5,9x9
45057,44908,149,Board 5,9x9
7785,7623,162,Board 5,9x9
17326,17177,149,Board 5,9x9
29505,29345,160,Board 5,9x9
19874,19708,166,Board 5,9x9
47225,47060,165,Board 5,9x9
34365,34204,161,Board 5,9x9
87806,87641,165,Board 5,9x9
74661,74661,0,Board 5,9x9
19020,18856,164,Board 5,9x9
44553,44386,167,Board 5,9x9
5300,5233,67,Board 5,9x9
98416,98416,0,Board 5,9x9
86304,86141,163,Board 5,9x9
55873,55701,172,Board 5,9x9
43407,43242,165,Board 5,9x9
84618,84444,174,Board 5,9x9
50649,50484,165,Board 5,9x9
18416,18252,164,Board 5,9x9
12510,12344,166,Board 5,9x9
29542,29380,162,Board 5,9x9
65036,64876,160,Board 5,9x9
44222,44052,170,Board 5,9x9
31087,30925,162,Board 5,9x9
26421,26252,169,Board 5,9x9
69381,69205,176,Board 5,9x9
43363,43206,157,Board 5,9x9
51627,51451,176,Board 5,9x9
25700,25555,145,Board 5,9x9
9253,9065,188,Board 5,9x9
26694,26694,0,Board 5,9x9
60357,60189,168,Board 5,9x9
13633,13461,172,Board 5,9x9
17064,16882,182,Board 5,9x9
19971,19798,173,Board 5,9x9
31658,31488,170,Board 5,9x9
50153,50005,148,Board 5,9x9
57611,57448,163,Board 5,9x9
12301,12301,0,Board 5,9x9
77948,77948,0,Board 5,9x9
56421,56252,169,Board 5,9x9
76610,76431,179,Board 5,9x9
85259,85110,149,Board 5,9x9
9644,9491,153,Board 5,9x9
50458,50283,175,Board 5,9x9
24234,24057,177,Board 5,9x9
54878,54698,180,Board 5,9x9
61456,61456,0,Board 5,9x9
35923,35748,175,Board 5,9x9
2569,2402,167,Board 5,9x9
4400,4228,172,Board 5,9x9
76763,76601,162,Board 5,9x9
42295,42134,161,Board 5,9x9
44750,44571,179,Board 5,9x9
28727,28553,174,Board 5,9x9
27895,27895,0,Board 5,9x9
11389,11304,85,Board 5,9x9
41213,41052,161,Board 4,9x9
99184,99025,159,Board 4,9x9
3797,3646,151,Board 4,9x9
23445,23254,191,Board 4,9x9
53208,53041,167,Board 4,9x9
47306,47152,154,Board 4,9x9
56553,56394,159,Board 4,9x9
53278,53133,145,Board 4,9x9
24616,24451,165,Board 4,9x9
26344,26189,155,Board 4,9x9
33715,33552,163,Board 4,9x9
84770,84603,167,Board 4,9x9
30613,30427,186,Board 4,9x9
14822,14664,158,Board 4,9x9
21433,21275,158,Board 4,9x9
39737,39559,178,Board 4,9x9
12342,12191,151,Board 4,9x9
41677,41505,172,Board 4,9x9
10615,10452,163,Board 4,9x9
