random_moves,optimized_hillclimber_moves,runtime,improvement,board,size,iterations
30133,29807,0.9421720504760742,326,Board 3,6x6,500
67699,67339,1.5873363018035889,360,Board 3,6x6,500
55438,55438,1.241650104522705,0,Board 3,6x6,500
45818,45464,1.1415560245513916,354,Board 3,6x6,500
49123,48781,1.1549310684204102,342,Board 3,6x6,500
5785,5455,0.1472067832946777,330,Board 3,6x6,500
6306,5982,0.1902570724487304,324,Board 3,6x6,500
64145,63831,1.4713118076324463,314,Board 3,6x6,500
15366,15042,0.3632609844207763,324,Board 3,6x6,500
19090,18748,0.4501130580902099,342,Board 3,6x6,500
6845,6501,0.16876220703125,344,Board 3,6x6,500
83579,83263,1.9659967422485352,316,Board 3,6x6,500
12458,12456,0.2853939533233642,2,Board 3,6x6,500
10937,10593,0.2623500823974609,344,Board 3,6x6,500
41826,41508,1.011368989944458,318,Board 3,6x6,500
40380,40050,0.937053918838501,330,Board 3,6x6,500
9685,9685,0.2205150127410888,0,Board 3,6x6,500
36023,35697,0.8360152244567871,326,Board 3,6x6,500
96477,96179,2.212929964065552,298,Board 3,6x6,500
61544,61232,1.426408290863037,312,Board 3,6x6,500
70246,69872,1.6298189163208008,374,Board 3,6x6,500
29197,28853,0.6839370727539062,344,Board 3,6x6,500
22292,22292,0.4998152256011963,0,Board 3,6x6,500
66021,65701,1.518643140792847,320,Board 3,6x6,500
20948,20614,0.4938142299652099,334,Board 3,6x6,500
4391,4049,0.1117959022521972,342,Board 3,6x6,500
8539,8209,0.2070131301879882,330,Board 3,6x6,500
76455,76123,1.7526562213897705,332,Board 3,6x6,500
3475,3161,0.0901050567626953,314,Board 3,6x6,500
6268,5912,0.1529407501220703,356,Board 3,6x6,500
28723,28411,0.667604923248291,312,Board 3,6x6,500
31823,31539,0.7327799797058105,284,Board 3,6x6,500
26768,26420,0.6227569580078125,348,Board 3,6x6,500
13130,13130,0.2943930625915527,0,Board 3,6x6,500
19159,18805,0.4526050090789795,354,Board 3,6x6,500
41096,40742,0.9523818492889404,354,Board 3,6x6,500
69174,68840,1.5862019062042236,334,Board 3,6x6,500
95660,95306,2.230271100997925,354,Board 3,6x6,500
86755,86429,1.9912848472595217,326,Board 3,6x6,500
32862,32538,0.7660958766937256,324,Board 3,6x6,500
20246,19912,0.4770400524139404,334,Board 3,6x6,500
17625,17281,0.4180030822753906,344,Board 3,6x6,500
8163,8163,0.1867399215698242,0,Board 3,6x6,500
75773,75429,1.7429897785186768,344,Board 3,6x6,500
3849,3849,0.0911288261413574,0,Board 3,6x6,500
69576,69262,1.5872550010681152,314,Board 3,6x6,500
36051,35715,0.834388017654419,336,Board 3,6x6,500
7726,7374,0.1892998218536377,352,Board 3,6x6,500
23522,23176,0.5521080493927002,346,Board 3,6x6,500
51479,51147,1.1859352588653564,332,Board 3,6x6,500
9494,9488,0.2140960693359375,6,Board 3,6x6,500
8515,8165,0.2053000926971435,350,Board 3,6x6,500
95304,95304,2.1135432720184326,0,Board 3,6x6,500
34065,33715,0.7955448627471924,350,Board 3,6x6,500
88394,88030,2.0255050659179688,364,Board 3,6x6,500
